Months,Days,date time,Average of temp,Average of humid,Average of wind speed
May,15-May,6 PM,34.8,64.1,2.2
May,15-May,7 PM,33.7,66.5,2.2
May,15-May,8 PM,33.4,68.1,2.3
May,15-May,9 PM,33.2,69.1,2.8
May,15-May,10 PM,33.1,69.9,2.2
May,15-May,11 PM,33.1,69.6,2.2
May,16-May,12 AM,32.9,70.8,2.3
May,16-May,1 AM,32.9,70.9,2.0
May,16-May,2 AM,33.0,70.9,3.8
May,16-May,3 AM,33.0,71.7,1.8
May,16-May,4 AM,33.1,71.5,2.3
May,16-May,5 AM,33.0,72.3,2.4
May,16-May,6 AM,32.6,74.2,2.1
May,16-May,7 AM,32.3,73.8,1.8
May,16-May,8 AM,33.4,72.7,2.2
May,16-May,9 AM,36.9,66.4,3.4
May,16-May,10 AM,39.3,57.7,2.8
May,16-May,11 AM,41.6,51.3,2.8
May,16-May,12 PM,42.3,49.2,2.7
May,16-May,1 PM,42.9,47.7,2.4
